[10/Jun/2013 11:30:41] DEBUG [django.db.backends:51] (0.001) SELECT `south_migrationhistory`.`id`, `south_migrationhistory`.`app_name`, `south_migrationhistory`.`migration`, `south_migrationhistory`.`applied` FROM `south_migrationhistory` WHERE `south_migrationhistory`.`applied` IS NOT NULL ORDER BY `south_migrationhistory`.`applied` ASC; args=()
[10/Jun/2013 11:30:41] DEBUG [django.db.backends:51] (0.014) CREATE TABLE ROLLBACK_TEST (X INT); args=()
[10/Jun/2013 11:30:41] DEBUG [django.db.backends:51] (0.000) INSERT INTO ROLLBACK_TEST (X) VALUES (8); args=()
[10/Jun/2013 11:30:41] DEBUG [django.db.backends:51] (0.000) SELECT COUNT(X) FROM ROLLBACK_TEST; args=()
[10/Jun/2013 11:30:41] DEBUG [django.db.backends:51] (0.001) DROP TABLE ROLLBACK_TEST; args=()
[10/Jun/2013 11:30:41] DEBUG [django.db.backends:51] (0.000) SET FOREIGN_KEY_CHECKS=0;; args=[]
[10/Jun/2013 11:30:41] DEBUG [django.db.backends:51] (0.018) CREATE TABLE DDL_TRANSACTION_TEST (X INT); args=()
[10/Jun/2013 11:30:41] DEBUG [django.db.backends:51] (0.000) CREATE TABLE DDL_TRANSACTION_TEST (X INT); args=()
[10/Jun/2013 11:30:41] DEBUG [django.db.backends:51] (0.001) DROP TABLE DDL_TRANSACTION_TEST; args=()
[10/Jun/2013 11:30:41] DEBUG [django.db.backends:51] (0.000) SET FOREIGN_KEY_CHECKS=0;; args=[]
[10/Jun/2013 11:30:41] DEBUG [django.db.backends:51] (0.013) CREATE TABLE `freelance_django_contentitem` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `title` varchar(255) NOT NULL, `content` longtext NOT NULL, `created` datetime NOT NULL, `is_landing` bool NOT NULL, `is_blog` bool NOT NULL); args=[]
[10/Jun/2013 11:30:41] DEBUG [django.db.backends:51] (0.000) SELECT `south_migrationhistory`.`id`, `south_migrationhistory`.`app_name`, `south_migrationhistory`.`migration`, `south_migrationhistory`.`applied` FROM `south_migrationhistory` WHERE (`south_migrationhistory`.`app_name` = 'freelance_django'  AND `south_migrationhistory`.`migration` = '0005_auto__add_contentitem' ); args=('freelance_django', '0005_auto__add_contentitem')
[10/Jun/2013 11:30:41] DEBUG [django.db.backends:51] (0.000) INSERT INTO `south_migrationhistory` (`app_name`, `migration`, `applied`) VALUES ('freelance_django', '0005_auto__add_contentitem', '2013-06-10 16:30:41'); args=['freelance_django', '0005_auto__add_contentitem', u'2013-06-10 16:30:41']
[10/Jun/2013 11:30:41] DEBUG [django.db.backends:51] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`name`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'portfoliotag'  AND `django_content_type`.`app_label` = 'freelance_django' ); args=('portfoliotag', u'freelance_django')
[10/Jun/2013 11:30:41] DEBUG [django.db.backends:51] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`name`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'contentitem'  AND `django_content_type`.`app_label` = 'freelance_django' ); args=('contentitem', u'freelance_django')
[10/Jun/2013 11:30:41] DEBUG [django.db.backends:51] (0.000) SAVEPOINT s140735285764480_x1; args=()
[10/Jun/2013 11:30:41] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_content_type` (`name`, `app_label`, `model`) VALUES ('content item', 'freelance_django', 'contentitem'); args=[u'content item', u'freelance_django', 'contentitem']
[10/Jun/2013 11:30:41] DEBUG [django.db.backends:51] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`name`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'portfolioitem'  AND `django_content_type`.`app_label` = 'freelance_django' ); args=('portfolioitem', u'freelance_django')
